Human_Time,Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
2025-12-29 15:45:00,1766994300000,0.3752,0.3761,0.3752,0.3755,214190.6,1766995199999,80484.19244000,332,60134.30000000,22597.84493000,0
2025-12-29 16:00:00,1766995200000,0.3756,0.376,0.375,0.376,227299.9,1766996099999,85345.25943000,393,111687.10000000,41937.73343000,0
2025-12-29 16:15:00,1766996100000,0.3759,0.3772,0.3757,0.3762,436103.4,1766996999999,164224.88757000,591,200880.50000000,75653.72526000,0
2025-12-29 16:30:00,1766997000000,0.3763,0.3765,0.3747,0.3752,604890.1,1766997899999,227093.45010000,924,350369.40000000,131571.91912000,0
2025-12-29 16:45:00,1766997900000,0.3752,0.3758,0.3738,0.3749,296414.9,1766998799999,111148.67655000,488,191675.80000000,71879.67262000,0
2025-12-29 17:00:00,1766998800000,0.375,0.3759,0.3744,0.3746,348060.4,1766999699999,130558.04494000,536,227926.10000000,85497.45633000,0
2025-12-29 17:15:00,1766999700000,0.3747,0.3752,0.3733,0.374,358093.6,1767000599999,134072.90419000,556,218583.50000000,81867.78848000,0
2025-12-29 17:30:00,1767000600000,0.3741,0.3742,0.3685,0.3691,864645.4,1767001499999,320645.33080000,1456,380391.30000000,141074.31895000,0
2025-12-29 17:45:00,1767001500000,0.3689,0.3697,0.3671,0.3696,488965.7,1767002399999,180052.70943000,972,250469.20000000,92248.17813000,0
2025-12-29 18:00:00,1767002400000,0.3693,0.3721,0.3689,0.3707,606799.1,1767003299999,224777.30810000,838,253779.40000000,94084.10132000,0
2025-12-29 18:15:00,1767003300000,0.3707,0.3709,0.3697,0.3707,500357.7,1767004199999,185225.79455000,611,176741.20000000,65436.16475000,0
2025-12-29 18:30:00,1767004200000,0.3707,0.3713,0.3704,0.3712,191058.5,1767005099999,70840.17912000,423,115612.00000000,42869.86623000,0
2025-12-29 18:45:00,1767005100000,0.371,0.3713,0.3695,0.37,232099.6,1767005999999,85987.98165000,436,121567.00000000,45037.49811000,0
2025-12-29 19:00:00,1767006000000,0.3699,0.3707,0.3694,0.3706,181669.8,1767006899999,67216.54324000,387,91416.20000000,33824.37073000,0
2025-12-29 19:15:00,1767006900000,0.3702,0.3707,0.3696,0.3696,206376.2,1767007799999,76367.45632000,332,89223.80000000,33018.16557000,0
2025-12-29 19:30:00,1767007800000,0.3696,0.3702,0.3692,0.3696,167875.3,1767008699999,62056.60532000,369,90389.80000000,33424.31067000,0
2025-12-29 19:45:00,1767008700000,0.3694,0.3697,0.3689,0.369,243314.8,1767009599999,89851.85548000,315,105593.00000000,39000.58114000,0
2025-12-29 20:00:00,1767009600000,0.369,0.3691,0.3629,0.364,1164212.0,1767010499999,425751.33389000,1987,617486.40000000,225799.40685000,0
2025-12-29 20:15:00,1767010500000,0.3638,0.3659,0.3617,0.3649,719956.6,1767011399999,261962.37535000,1163,389824.60000000,141878.38738000,0
2025-12-29 20:30:00,1767011400000,0.365,0.3656,0.3645,0.3647,373246.0,1767012299999,136279.05368000,587,181116.80000000,66125.54761000,0
2025-12-29 20:45:00,1767012300000,0.3648,0.3655,0.3646,0.3653,146758.5,1767013199999,53591.78828000,251,78092.10000000,28519.09118000,0
2025-12-29 21:00:00,1767013200000,0.3653,0.3662,0.3646,0.3649,350409.3,1767014099999,127960.07020000,520,119329.50000000,43588.72665000,0
2025-12-29 21:15:00,1767014100000,0.3651,0.3655,0.364,0.3642,280139.5,1767014999999,102211.18215000,391,152806.10000000,55762.12304000,0
2025-12-29 21:30:00,1767015000000,0.3642,0.3646,0.3635,0.3639,264585.8,1767015899999,96293.65073000,384,172338.10000000,62711.41510000,0
2025-12-29 21:45:00,1767015900000,0.3639,0.3643,0.363,0.3638,307313.8,1767016799999,111728.02036000,638,223438.80000000,81236.25391000,0
2025-12-29 22:00:00,1767016800000,0.3637,0.3651,0.3634,0.3649,285560.2,1767017699999,103993.42719000,530,167583.50000000,61035.47425000,0
2025-12-29 22:15:00,1767017700000,0.3649,0.3651,0.3629,0.3648,257024.0,1767018599999,93595.38219000,478,140169.40000000,51044.97368000,0
2025-12-29 22:30:00,1767018600000,0.3648,0.3693,0.3641,0.3673,848656.3,1767019499999,311574.92995000,1435,399807.10000000,146776.19472000,0
2025-12-29 22:45:00,1767019500000,0.3672,0.3673,0.3641,0.3645,793374.4,1767020399999,290128.47534000,1271,444345.90000000,162469.01126000,0
2025-12-29 23:00:00,1767020400000,0.3646,0.3664,0.3639,0.3663,364423.4,1767021299999,132980.14567000,706,208045.00000000,75933.59152000,0
2025-12-29 23:15:00,1767021300000,0.3661,0.3669,0.3651,0.3666,279134.8,1767022199999,102194.42324000,510,157669.30000000,57720.52453000,0
2025-12-29 23:30:00,1767022200000,0.3665,0.3674,0.3653,0.367,278377.0,1767023099999,101991.92855000,574,180231.20000000,66056.15428000,0
2025-12-29 23:45:00,1767023100000,0.367,0.3672,0.3645,0.3654,328980.0,1767023999999,120378.75188000,630,197703.30000000,72371.34214000,0
2025-12-30 00:00:00,1767024000000,0.3652,0.3654,0.3643,0.3646,284908.7,1767024899999,103943.05305000,471,163515.70000000,59657.44957000,0
2025-12-30 00:15:00,1767024900000,0.3646,0.3646,0.3588,0.3602,785864.2,1767025799999,284038.58663000,1436,354367.40000000,128097.42713000,0
2025-12-30 00:30:00,1767025800000,0.3602,0.3607,0.3594,0.3595,338270.5,1767026699999,121757.31466000,469,122159.10000000,43984.19851000,0
2025-12-30 00:45:00,1767026700000,0.3596,0.3608,0.3594,0.3596,347894.6,1767027599999,125227.91691000,490,158720.40000000,57129.83899000,0
2025-12-30 01:00:00,1767027600000,0.3596,0.3608,0.3588,0.3598,535610.2,1767028499999,192805.73810000,751,271578.10000000,97750.40125000,0
2025-12-30 01:15:00,1767028500000,0.3597,0.3608,0.3581,0.3588,386996.5,1767029399999,139124.36157000,644,163403.40000000,58752.05080000,0
2025-12-30 01:30:00,1767029400000,0.3587,0.3592,0.3577,0.3586,419966.3,1767030299999,150556.44124000,637,223562.90000000,80173.74727000,0
2025-12-30 01:45:00,1767030300000,0.3587,0.3602,0.3587,0.3594,206414.3,1767031199999,74236.49359000,365,93395.40000000,33589.08235000,0
2025-12-30 02:00:00,1767031200000,0.3593,0.3597,0.3578,0.3582,537338.0,1767032099999,192800.10561000,873,254735.30000000,91355.88600000,0
2025-12-30 02:15:00,1767032100000,0.3582,0.3586,0.3563,0.3564,447354.4,1767032999999,159890.81925000,680,232623.50000000,83113.08493000,0
2025-12-30 02:30:00,1767033000000,0.3565,0.3568,0.3553,0.3555,551313.2,1767033899999,196333.80106000,818,334026.20000000,118988.69764000,0
2025-12-30 02:45:00,1767033900000,0.3554,0.3555,0.3543,0.3552,443430.9,1767034799999,157426.55399000,640,207742.60000000,73780.80768000,0
2025-12-30 03:00:00,1767034800000,0.3552,0.3574,0.3543,0.3563,700948.2,1767035699999,249574.59405000,993,415761.20000000,148101.34873000,0
2025-12-30 03:15:00,1767035700000,0.3562,0.3565,0.355,0.3551,195263.8,1767036599999,69488.10646000,364,119274.50000000,42448.19096000,0
2025-12-30 03:30:00,1767036600000,0.3553,0.3562,0.3538,0.3543,326625.9,1767037499999,115934.80414000,571,194603.30000000,69072.67716000,0
2025-12-30 03:45:00,1767037500000,0.3542,0.3542,0.3525,0.3526,342222.1,1767038399999,120922.45645000,631,185527.90000000,65557.22400000,0
2025-12-30 04:00:00,1767038400000,0.3526,0.3538,0.3519,0.3534,525501.7,1767039299999,185223.90084000,818,359445.60000000,126686.79922000,0
2025-12-30 04:15:00,1767039300000,0.3534,0.3535,0.3508,0.3511,378944.4,1767040199999,133410.07999000,678,174779.40000000,61540.25872000,0
2025-12-30 04:30:00,1767040200000,0.3511,0.3516,0.3501,0.3508,359936.3,1767041099999,126282.49675000,620,251622.70000000,88296.21950000,0
2025-12-30 04:45:00,1767041100000,0.3508,0.3522,0.3505,0.3518,260755.1,1767041999999,91527.44997000,507,165197.60000000,57992.25670000,0
2025-12-30 05:00:00,1767042000000,0.3517,0.3533,0.3513,0.3531,250163.4,1767042899999,88115.43896000,491,157405.80000000,55458.48193000,0
2025-12-30 05:15:00,1767042900000,0.353,0.3531,0.3513,0.3521,264695.7,1767043799999,93192.74470000,426,103928.40000000,36593.36946000,0
2025-12-30 05:30:00,1767043800000,0.3521,0.3526,0.3519,0.3525,178839.8,1767044699999,62993.93999000,300,108755.60000000,38311.13975000,0
2025-12-30 05:45:00,1767044700000,0.3524,0.3528,0.3519,0.3526,205810.5,1767045599999,72498.67271000,308,64306.80000000,22658.95659000,0
2025-12-30 06:00:00,1767045600000,0.3525,0.3529,0.3516,0.3527,313240.9,1767046499999,110404.02044000,411,238618.60000000,84112.87278000,0
2025-12-30 06:15:00,1767046500000,0.3528,0.3543,0.3526,0.3538,198142.7,1767047399999,70033.88052000,423,101048.90000000,35718.07189000,0
2025-12-30 06:30:00,1767047400000,0.3538,0.3552,0.3537,0.3544,206310.3,1767048299999,73144.84295000,394,122416.30000000,43406.36816000,0
2025-12-30 06:45:00,1767048300000,0.3544,0.3547,0.3537,0.3539,104812.9,1767049199999,37126.50598000,217,38145.90000000,13511.28756000,0
2025-12-30 07:00:00,1767049200000,0.3538,0.3538,0.3526,0.3532,131557.6,1767050099999,46469.61497000,278,69376.10000000,24508.58058000,0
2025-12-30 07:15:00,1767050100000,0.3531,0.354,0.3526,0.3528,288145.3,1767050999999,101799.94992000,527,130815.10000000,46227.19628000,0
2025-12-30 07:30:00,1767051000000,0.353,0.3534,0.3527,0.3528,108732.6,1767051899999,38378.97878000,195,54433.60000000,19215.58405000,0
2025-12-30 07:45:00,1767051900000,0.3528,0.3531,0.3526,0.3529,188476.2,1767052799999,66509.90224000,249,84753.20000000,29910.36660000,0
2025-12-30 08:00:00,1767052800000,0.3528,0.3534,0.3527,0.3531,199443.4,1767053699999,70401.78550000,320,101806.40000000,35938.22666000,0
2025-12-30 08:15:00,1767053700000,0.3531,0.3539,0.3529,0.3529,196558.1,1767054599999,69509.24512000,351,106279.60000000,37587.23802000,0
2025-12-30 08:30:00,1767054600000,0.3529,0.3533,0.3517,0.3528,387810.0,1767055499999,136766.05182000,611,257065.30000000,90655.22552000,0
2025-12-30 08:45:00,1767055500000,0.3529,0.354,0.3529,0.354,104979.5,1767056399999,37117.07011000,223,49346.00000000,17447.00791000,0
2025-12-30 09:00:00,1767056400000,0.3538,0.3538,0.3526,0.3534,1490589.1,1767057299999,526377.17509000,651,1045641.80000000,369213.88136000,0
2025-12-30 09:15:00,1767057300000,0.3533,0.3541,0.3532,0.3534,248229.4,1767058199999,87762.45873000,427,135250.30000000,47822.26873000,0
2025-12-30 09:30:00,1767058200000,0.3534,0.3545,0.353,0.3542,330894.1,1767059099999,117053.71978000,495,243880.30000000,86286.76889000,0
2025-12-30 09:45:00,1767059100000,0.3543,0.355,0.3517,0.3522,460252.9,1767059999999,162569.13564000,684,198971.50000000,70316.25070000,0
2025-12-30 10:00:00,1767060000000,0.3523,0.3523,0.3502,0.351,482593.0,1767060899999,169420.77379000,632,173586.90000000,60929.36493000,0
2025-12-30 10:15:00,1767060900000,0.351,0.3519,0.348,0.3493,950832.9,1767061799999,332312.31045000,1109,360762.30000000,126129.98255000,0
2025-12-30 10:30:00,1767061800000,0.3493,0.3507,0.349,0.3502,471200.1,1767062699999,164815.47285000,597,213340.50000000,74659.13254000,0
2025-12-30 10:45:00,1767062700000,0.3501,0.3504,0.3495,0.3504,261837.6,1767063599999,91667.15491000,232,158224.40000000,55401.86690000,0
2025-12-30 11:00:00,1767063600000,0.3504,0.3508,0.35,0.3504,147972.6,1767064499999,51854.37398000,255,91358.30000000,32023.43445000,0
2025-12-30 11:15:00,1767064500000,0.3503,0.3519,0.3496,0.3517,141620.1,1767065399999,49644.70278000,311,66690.50000000,23382.73059000,0
2025-12-30 11:30:00,1767065400000,0.3516,0.3519,0.3512,0.3515,124086.0,1767066299999,43606.75748000,191,83734.30000000,29422.97846000,0
2025-12-30 11:45:00,1767066300000,0.3515,0.3528,0.3513,0.3522,205763.8,1767067199999,72475.88159000,306,156055.80000000,54975.79705000,0
2025-12-30 12:00:00,1767067200000,0.3522,0.3524,0.3515,0.3517,103363.6,1767068099999,36370.78578000,228,35578.60000000,12518.04587000,0
2025-12-30 12:15:00,1767068100000,0.3516,0.3531,0.3515,0.3529,94280.0,1767068999999,33195.58833000,222,47336.80000000,16668.75636000,0
2025-12-30 12:30:00,1767069000000,0.3529,0.353,0.3526,0.3529,56938.9,1767069899999,20090.49218000,127,32810.90000000,11576.58905000,0
2025-12-30 12:45:00,1767069900000,0.3529,0.353,0.3521,0.3521,57820.4,1767070799999,20378.31268000,152,11107.90000000,3914.42199000,0
2025-12-30 13:00:00,1767070800000,0.3521,0.3522,0.3513,0.3522,101407.0,1767071699999,35672.89348000,249,56635.60000000,19925.92082000,0
