Human_Time,Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
2024-01-01 08:00:00,1704067200000,0.5975,0.5975,0.5975,0.5975,33.4,1704081599999,19.95650000,1,0.00000000,0.00000000,0
2024-01-01 12:00:00,1704081600000,0.6091,0.6091,0.6091,0.6091,1192.8,1704095999999,726.53448000,1,1192.80000000,726.53448000,0
2024-01-01 16:00:00,1704096000000,0.5975,0.6081,0.5975,0.6017,3665.5,1704110399999,2208.89241000,6,1644.60000000,999.94558000,0
2024-01-01 20:00:00,1704110400000,0.6032,0.6032,0.6032,0.6032,75.6,1704124799999,45.60192000,1,0.00000000,0.00000000,0
2024-01-02 00:00:00,1704124800000,0.6032,0.6142,0.6032,0.6133,5271.6,1704139199999,3229.59248000,21,3762.40000000,2305.14678000,0
2024-01-02 04:00:00,1704139200000,0.6294,0.6294,0.627,0.627,1747.9,1704153599999,1096.05886000,4,1747.90000000,1096.05886000,0
2024-01-02 08:00:00,1704153600000,0.627,0.64,0.6249,0.6287,6494.3,1704167999999,4080.44629000,21,5841.30000000,3669.67337000,0
2024-01-02 12:00:00,1704168000000,0.6279,0.6287,0.6246,0.6278,8619.8,1704182399999,5411.52709000,22,6526.40000000,4097.92656000,0
2024-01-02 16:00:00,1704182400000,0.6429,0.6431,0.6251,0.6251,3224.5,1704196799999,2054.16440000,26,2336.60000000,1495.00391000,0
2024-01-02 20:00:00,1704196800000,0.6251,0.6437,0.58,0.58,4549.7,1704211199999,2861.40585000,24,998.70000000,642.32249000,0
2024-01-03 00:00:00,1704211200000,0.6285,0.6294,0.6114,0.6128,3571.6,1704225599999,2197.60108000,30,260.50000000,162.88839000,0
2024-01-03 04:00:00,1704225600000,0.6133,0.6309,0.6077,0.6077,8591.5,1704239999999,5257.51423000,22,1509.60000000,951.04360000,0
2024-01-03 08:00:00,1704240000000,0.6083,0.6241,0.6003,0.609,5037.4,1704254399999,3073.03448000,15,4402.00000000,2687.42427000,0
2024-01-03 12:00:00,1704254400000,0.6123,0.6238,0.6123,0.6123,412.3,1704268799999,253.50260000,11,80.40000000,49.90728000,0
2024-01-03 16:00:00,1704268800000,0.6124,0.6297,0.5947,0.5967,17505.2,1704283199999,10734.60436000,59,7606.00000000,4675.59949000,0
2024-01-03 20:00:00,1704283200000,0.5803,0.6325,0.4877,0.5512,202962.5,1704297599999,106166.35570000,421,125921.50000000,63951.40079000,0
2024-01-04 00:00:00,1704297600000,0.5641,0.5853,0.55,0.5572,32531.2,1704311999999,18303.25038000,64,995.90000000,563.57156000,0
2024-01-04 04:00:00,1704312000000,0.5594,0.5763,0.5438,0.5556,3426.3,1704326399999,1941.05397000,13,2791.60000000,1587.80576000,0
2024-01-04 08:00:00,1704326400000,0.5574,0.5708,0.55,0.5588,10588.1,1704340799999,5917.43609000,25,5511.90000000,3088.76906000,0
2024-01-04 12:00:00,1704340800000,0.5623,0.5649,0.557,0.557,24232.4,1704355199999,13658.21463000,34,19938.60000000,11244.74078000,0
